fips,year,n_plans,bid_mean_unweighted,w_sum,wx_sum,bid_mean_weighted,hhi,market_type
05069,2018,175,797.2415428571428,4019.0,2838797.39,706.3442124906694,0.1334402444323774,competitive
05071,2018,167,800.7317365269462,1540.9333333333334,1144223.932,742.5525214155923,0.1618435601937922,middle
05073,2018,144,811.6205555555556,242.0,173630.54,717.481570247934,0.268185233249095,uncompetitive
05075,2018,159,800.2330817610062,951.0,687638.9400000001,723.0693375394322,0.1238510351050032,competitive
05077,2018,161,803.447701863354,595.3333333333334,434076.82666666666,729.1324076147815,0.1313215425032839,competitive
05079,2018,152,805.1713157894736,431.0,305148.79000000004,708.0018329466358,0.1830578000764423,middle
05081,2018,150,807.5133999999999,619.5,449219.665,725.1326311541566,0.3297937029863519,uncompetitive
05083,2018,158,807.6567088607594,1551.4,1093059.696,704.5634240041253,0.138323494687131,competitive
05085,2018,171,797.5958479532164,2633.0,1875837.08,712.4333763767565,0.0766993874959629,competitive
05087,2018,160,804.896375,1339.0,917875.86,685.4935474234503,0.1639397385607062,middle
05089,2018,168,800.9000000000001,1597.0,1187921.1099999999,743.8454038822792,0.1122631703385613,competitive
05091,2018,152,808.3246052631579,1896.0,1402107.77,739.5083175105485,0.3204531191582545,uncompetitive
05093,2018,164,792.3404268292683,2128.0,1510709.96,709.9200939849624,0.1351616675912834,competitive
05095,2018,148,806.6796621621621,423.0,300237.25,709.7807328605201,0.1561645772457347,middle
05097,2018,160,802.6639375,498.0,358930.33,720.7436345381526,0.1589068073721759,middle
05099,2018,148,806.6796621621621,426.2857142857143,306876.98,719.8856769436997,0.2532227232624252,uncompetitive
05101,2018,160,799.9584375000001,536.0,405177.23,755.9276679104478,0.1446313210069057,competitive
05103,2018,154,803.1432467532468,1774.75,1282532.8875,722.6555219044935,0.1076173785917046,competitive
05105,2018,166,799.6112048192771,559.125,404525.2375,723.4969595349877,0.0776380952380952,competitive
05107,2018,156,801.2154487179487,1092.0,795575.3400000001,728.5488461538463,0.1164647318493472,competitive
05109,2018,153,806.0079084967321,480.0,339674.46,707.655125,0.1666340851332736,middle
05111,2018,160,802.2886875,1587.0,1142330.23,719.8048078134846,0.1082158777603133,competitive
05113,2018,150,807.6028666666666,870.0,665457.38,764.893540229885,0.1272902629145197,competitive
05115,2018,166,798.0056024096385,3109.0,2220570.69,714.2395271791572,0.0947736683288362,competitive
05117,2018,151,806.72059602649,334.0,238676.34,714.5998203592815,0.1569280078895463,middle
05119,2018,220,773.251,17447.0,12221382.99,700.4862148220325,0.0592299148632675,competitive
05121,2018,164,797.2815853658536,1214.0,859981.24,708.3865238879737,0.150374950128783,middle
05123,2018,158,802.417911392405,1253.0,926714.6,739.5966480446928,0.1116765936337114,competitive
05125,2018,181,792.2549723756906,5162.0,3638225.28,704.8092367299496,0.1004336858366367,competitive
05127,2018,158,806.8112025316456,695.0,482235.64,693.8642302158273,0.1554060348843227,middle
05129,2018,159,801.0006918238994,596.0,425196.08999999997,713.4162583892617,0.1575041664789874,middle
05131,2018,186,786.5292473118279,8460.666666666666,5784388.166666667,683.6799503585219,0.1822699559918175,middle
05133,2018,147,808.5377551020408,427.83333333333337,309086.7866666666,722.4467160109075,0.2851100221893491,uncompetitive
05135,2018,168,797.0494642857143,1256.0,894729.13,712.3639570063694,0.1401403203174142,competitive
05137,2018,158,804.5672151898734,613.0,445799.82,727.2427732463295,0.1583522747722182,middle
05139,2018,156,802.3853205128205,1789.0,1286347.6400000001,719.0316601453327,0.17330834573496,middle
05141,2018,168,799.5885119047618,1154.8,852452.4839999999,738.181922410807,0.099473710497072,competitive
05143,2018,187,779.6518181818183,8658.0,5921801.82,683.9687941787943,0.1723931938762153,middle
05145,2018,160,798.1413749999999,3139.3333333333335,2229656.473333333,710.2324718623911,0.1037724461597024,competitive
05147,2018,149,806.1590604026845,345.0,245911.64,712.7873623188406,0.1270909472799831,competitive
05149,2018,160,799.5730625,1015.0,739841.5499999999,728.9079310344827,0.0952131815865466,competitive
06001,2018,301,753.1976411960133,102381.5,84344320.515,823.8238403910863,0.2780920298391438,uncompetitive
06003,2018,137,818.1840145985402,0.0,0.0,,,middle
06005,2018,164,803.9718902439025,2263.0,1830259.7200000002,808.7758373840036,0.1954884837580278,middle
06007,2018,159,790.4525786163523,1553.0,1323551.49,852.2546619446233,0.4943372381477969,uncompetitive
06009,2018,142,811.9935211267606,1081.0,875527.81,809.9239685476412,0.5466293999475936,uncompetitive
06011,2018,140,813.4517142857143,254.0,207278.84000000003,816.0584251968505,0.5337590675181351,uncompetitive
06013,2018,298,747.7707718120805,93118.62727272727,75448419.58936363,810.2398177368867,0.2363502855506679,uncompetitive
06015,2018,145,813.6080689655172,415.0,334582.64,806.2232289156627,0.5288488895340397,uncompetitive
06017,2018,200,781.3156,14735.3,11697917.178,793.870309936004,0.2021304690522305,middle
06019,2018,280,733.1559285714286,44713.5,30166589.535,674.6640172431145,0.085982060001601,competitive
06021,2018,136,818.2630882352942,177.0,150600.74999999997,850.851694915254,0.6966388968687159,uncompetitive
06023,2018,157,798.0117197452229,1391.0,1145446.92,823.4701078360891,0.2756219042745316,uncompetitive
06025,2018,163,778.4629447852761,4844.0,2672404.51,551.6937469033855,0.1974318813027566,middle
06027,2018,138,806.9941304347826,86.0,73794.48,858.0753488372093,0.4851270957274202,uncompetitive
06029,2018,303,724.7029702970297,43574.0,27836707.37,638.8375492266031,0.0991722696479713,competitive
06031,2018,184,773.2898369565216,3033.0,2100173.86,692.4411012199142,0.2733304993981079,uncompetitive
06033,2018,142,806.617323943662,197.0,169105.62,858.4041624365482,0.3114483753768455,uncompetitive
06035,2018,138,814.1063768115941,43.0,36484.32,848.4725581395348,0.5078125,uncompetitive
06037,2018,608,698.3011513157894,677465.7916666666,427077148.59291667,630.4040054070381,0.0781101902735226,competitive
06039,2018,199,777.4093467336683,8079.0,5899728.9399999995,730.2548508478772,0.1758722824943802,middle
06041,2018,198,781.4355555555555,23122.0,19311880.13,835.2166823804168,0.4157745708536109,uncompetitive
06043,2018,158,801.8177848101266,265.0,218922.93,826.1242641509434,0.1917693129227483,middle
06045,2018,152,808.1952631578947,1482.0,1222439.9,824.8582321187583,0.3044304938615614,uncompetitive
06047,2018,158,796.2099999999999,3463.272727272727,2764157.481818182,798.1345101847963,0.3923164041835371,uncompetitive
06049,2018,137,815.6497810218979,155.0,123620.56000000001,797.5520000000001,0.7657440166493236,uncompetitive
06051,2018,137,809.5284671532846,0.0,0.0,,,middle
06053,2018,160,794.4040625,4059.4285714285716,3236115.96,797.1850971283783,0.2653910243899487,uncompetitive
06055,2018,176,790.3535227272728,10861.0,8842373.09,814.1398664947978,0.3683636008409607,uncompetitive
06057,2018,166,799.1262048192772,3693.714285714286,3130086.862857143,847.409036200495,0.3867772177716323,uncompetitive
06059,2018,493,700.342028397566,237358.45555555556,136818738.61011112,576.4224336979124,0.0820885517363833,competitive
06061,2018,253,761.52395256917,39787.045454545456,30841938.045,775.1753791377961,0.1662547368494797,middle
06063,2018,144,814.4505555555556,298.0,242943.69999999998,815.2473154362416,0.4043061123372821,uncompetitive
06065,2018,530,701.1927358490567,194886.70634920636,115882481.90190476,594.6146049298076,0.078727657007947,competitive
