fips,year,n_plans,bid_mean_unweighted,w_sum,wx_sum,bid_mean_weighted
01109,2018,156,806.0816666666667,2415.5555555555557,1870943.5511111112,774.5396485740571
01111,2018,152,810.1534210526316,1450.0,1128687.49,778.4051655172414
01113,2018,167,797.6592215568862,4005.0,2734963.12,682.8871710362048
01115,2018,166,796.3599397590361,9348.0,6411414.43,685.8594811724432
01117,2018,197,777.7531472081218,17270.0,11796266.33,683.0495848291836
01119,2018,146,810.0904794520549,531.0,434249.94,817.7964971751412
01121,2018,164,796.0283536585365,8461.0,5823805.89,688.311770476303
01123,2018,158,802.5353164556963,4007.0,2997123.38,747.9718941851759
01125,2018,180,783.7216111111112,13564.0,10423357.03,768.4574631377175
01127,2018,175,788.3438285714286,8331.0,5572994.8100000005,668.9466822710359
01129,2018,154,804.1316233766235,1110.0,872169.07,785.7379009009009
01131,2018,146,809.9728082191781,655.0,514046.22,784.8033893129771
01133,2018,155,803.1518064516129,1736.0,1309746.64,754.4623502304147
02013,2018,134,816.7230597014925,0.0,0.0,
02016,2018,134,816.8346268656716,0.0,0.0,
02020,2018,169,799.1999999999999,391.0,335235.34,857.3793861892584
02050,2018,135,816.2327407407407,0.0,0.0,
02060,2018,133,817.8060902255639,0.0,0.0,
02068,2018,134,818.2705223880597,0.0,0.0,
02070,2018,133,817.8060902255639,0.0,0.0,
02090,2018,147,811.5640136054423,14.0,11999.26,857.09
02100,2018,133,817.8060902255639,0.0,0.0,
02110,2018,139,814.4523021582734,0.0,0.0,
02122,2018,149,805.7322818791946,210.0,179834.1,856.3528571428571
02130,2018,134,815.8190298507462,0.0,0.0,
02150,2018,133,817.8060902255639,0.0,0.0,
02164,2018,133,817.8060902255639,0.0,0.0,
02170,2018,148,804.1016216216216,173.0,148206.17,856.683063583815
02180,2018,133,817.8060902255639,0.0,0.0,
02185,2018,133,817.8060902255639,0.0,0.0,
02188,2018,134,816.7065671641791,0.0,0.0,
02220,2018,134,817.6844776119403,0.0,0.0,
02230,2018,134,817.6729850746268,0.0,0.0,
02240,2018,133,817.8060902255639,0.0,0.0,
02261,2018,137,815.0701459854015,0.0,0.0,
02270,2018,133,817.8060902255639,0.0,0.0,
02282,2018,133,817.8060902255639,0.0,0.0,
02290,2018,134,817.0732089552239,0.0,0.0,
04001,2018,164,792.6419512195122,818.0,590554.22,721.948924205379
04003,2018,208,762.4213942307692,9194.0,6077270.52,661.0039721557537
04005,2018,177,785.9769491525425,2181.0,1626965.0,745.9720311783585
04007,2018,177,779.4397740112994,2080.9583333333335,1531614.17875,736.0138616022265
04009,2018,157,802.3492993630573,1966.0,1265317.31,643.5998524923704
04011,2018,152,812.3984868421053,158.0,114746.36,726.2427848101266
04012,2018,186,788.1829569892473,967.0,677508.01,700.6287590486039
04013,2018,543,726.7724677716391,285224.1666666667,180141278.395,631.5778936275269
04015,2018,286,749.6161888111889,19512.0,13927073.940000001,713.7696771217713
04017,2018,181,780.5220994475138,4241.0,3221766.8,759.6714925725064
04019,2018,374,734.232513368984,103898.36363636363,62835729.70818181,604.7807444600579
04021,2018,314,747.3500318471338,30619.0,19234969.209999997,628.2037039093373
04023,2018,182,780.7492857142856,4923.0,3071324.7199999997,623.8725817590899
04025,2018,273,746.9918681318682,21928.0,16065363.450000001,732.6415290952208
04027,2018,212,768.2263679245283,7248.0,4708405.109999999,649.6143915562913
05001,2018,157,802.5065605095541,601.0,434772.80000000005,723.4156405990018
05003,2018,151,803.7131125827814,654.2,473826.398,724.2837022317334
05005,2018,186,786.2576344086023,4380.0,3324971.98,759.1260228310502
05007,2018,217,772.0914285714285,14288.0,9739711.74,681.6707544792833
05009,2018,165,800.7340606060606,2479.0,1736253.1300000001,700.384481645825
05011,2018,148,805.5194594594595,335.0,238512.88,711.9787462686568
05013,2018,148,806.6796621621621,226.0,158943.92,703.2916814159292
05015,2018,179,788.3679888268156,2365.0,1635487.98,691.5382579281184
05017,2018,150,803.1504666666667,510.0,365072.19,715.8278235294117
05019,2018,154,804.1250649350649,1008.1111111111111,751765.4022222222,745.7168103163232
05021,2018,152,805.8557236842106,654.3333333333334,473992.6566666667,724.3902037697402
05023,2018,171,797.6105847953216,1337.0,955029.2,714.3075542258788
05025,2018,149,807.1655704697987,294.0,210256.29,715.1574489795919
05027,2018,146,809.7877397260273,831.0,604154.3,727.0208182912155
05029,2018,167,799.7791616766467,1034.875,764935.7275,739.1576059910618
05031,2018,173,792.9293063583815,3688.0,2667174.0,723.2033622559653
05033,2018,166,799.2086746987952,5315.4,3624213.05,681.8326090228393
05035,2018,168,795.2440476190476,2068.0,1481190.51,716.2429932301741
05037,2018,156,805.2674358974359,818.0,588537.5800000001,719.4835941320295
05039,2018,159,804.993459119497,462.0,331816.04000000004,718.2165367965368
05041,2018,153,799.3550980392157,513.0,362808.65,707.2293372319689
05043,2018,142,810.916971830986,611.0,446402.34,730.6093944353519
