fips,year,ffs_cost,ffs_quartile
05033,2018,4244.736709865115,2
05035,2018,4690.665149337166,3
05037,2018,4627.952757319921,3
05039,2018,4499.878799688231,2
05041,2018,5355.3730459497865,4
05043,2018,4681.6986493597615,3
05045,2018,4102.069177280998,1
05047,2018,4204.492004462625,2
05049,2018,4535.435962514643,3
05051,2018,4655.609652926122,3
05053,2018,4761.210867218424,3
05055,2018,4579.928140629597,3
05057,2018,4779.9944827586205,3
05059,2018,4555.392140231835,3
05061,2018,4254.729630346429,2
05063,2018,4785.6782700421945,3
05065,2018,4582.57421316166,3
05067,2018,5092.002266387726,4
05069,2018,4453.588029290035,2
05071,2018,4011.8246238030097,1
05073,2018,4418.5186934277845,2
05075,2018,4724.685,3
05077,2018,3662.307108626198,1
05079,2018,4901.466486324016,3
05081,2018,4692.01380798274,3
05083,2018,4624.590880061311,3
05085,2018,3995.0909137868694,1
05087,2018,3648.433775490002,1
05089,2018,3755.6807936507935,1
05091,2018,4868.008804339282,3
05093,2018,4791.597135416667,3
05095,2018,3998.4140923290524,1
05097,2018,3602.785994397759,1
05099,2018,4341.598892147279,2
05101,2018,3482.721285892634,1
05103,2018,3981.862286872541,1
05105,2018,4064.5173902005586,1
05107,2018,4165.5335576114385,2
05109,2018,4623.338717572197,3
05111,2018,4915.224440488301,3
05113,2018,4146.770334374639,1
05115,2018,4200.1732645819475,2
05117,2018,4601.556458897922,3
05119,2018,4104.128180254502,1
05121,2018,4814.32303226908,3
05123,2018,4319.5786971604775,2
05125,2018,4785.877397727978,3
05127,2018,4341.785936176221,2
05129,2018,3932.3447513812152,1
05131,2018,4325.128690756663,2
05133,2018,4370.879587894398,2
05135,2018,4712.66644106035,3
05137,2018,4259.483962264151,2
05139,2018,4171.488773982855,2
05141,2018,4372.92501447597,2
05143,2018,3976.4082746880904,1
05145,2018,4701.048826080455,3
05147,2018,4461.023742026931,2
05149,2018,4268.070561348379,2
06001,2018,5155.199627104471,4
06003,2018,4639.103194103194,3
06005,2018,4856.203436468142,3
06007,2018,5437.786035167328,4
06009,2018,4810.37919430824,3
06011,2018,4352.369307248236,2
06013,2018,5050.628694277514,4
06015,2018,4476.516556291391,2
06017,2018,4676.560410816633,3
06019,2018,4785.332298671161,3
06021,2018,4948.1977757739705,4
06023,2018,4259.806234104217,2
06025,2018,5281.959595510612,4
06027,2018,5792.519025604552,4
06029,2018,5315.440541078482,4
06031,2018,4657.978680879413,3
06033,2018,5518.314597893494,4
06035,2018,4106.176842564326,1
06037,2018,6514.745494435162,4
06039,2018,4435.644008831204,2
06041,2018,4871.049628337498,3
06043,2018,4769.7518964164265,3
06045,2018,4712.713686579378,3
06047,2018,4952.499596850285,4
06049,2018,4460.414296501384,2
06051,2018,5019.158911954188,4
06053,2018,4941.1002806153165,4
06055,2018,5092.868036955671,4
06057,2018,4264.441807653004,2
06059,2018,5374.541566346793,4
06061,2018,4512.697759544048,3
06063,2018,4702.255496799332,3
