fips,year,plan_count
19005,2014,11
19007,2014,10
19009,2014,6
19011,2014,10
19013,2014,8
19015,2014,9
19017,2014,6
19019,2014,6
19021,2014,7
19023,2014,6
19025,2014,7
19027,2014,6
19029,2014,8
19031,2014,12
19033,2014,5
19035,2014,9
19037,2014,3
19039,2014,8
19041,2014,1
19043,2014,14
19045,2014,10
19047,2014,8
19049,2014,10
19051,2014,8
19053,2014,5
19055,2014,11
19057,2014,6
19059,2014,9
19061,2014,10
19063,2014,6
19065,2014,9
19067,2014,5
19069,2014,2
19071,2014,7
19073,2014,7
19075,2014,11
19077,2014,7
19079,2014,7
19081,2014,3
19083,2014,10
19085,2014,13
19087,2014,9
19089,2014,6
19091,2014,4
19093,2014,10
19095,2014,9
19097,2014,12
19099,2014,11
19101,2014,10
19103,2014,21
19105,2014,11
19107,2014,10
19109,2014,6
19111,2014,14
19113,2014,19
19115,2014,8
19117,2014,12
19119,2014,7
19121,2014,15
19123,2014,11
19125,2014,9
19127,2014,13
19129,2014,11
19131,2014,1
19133,2014,11
19135,2014,8
19137,2014,7
19139,2014,13
19141,2014,4
19143,2014,3
19145,2014,6
19147,2014,4
19149,2014,9
19151,2014,7
19153,2014,38
19155,2014,21
19157,2014,12
19159,2014,9
19161,2014,6
19163,2014,17
19165,2014,6
19167,2014,9
19169,2014,10
19171,2014,11
19173,2014,2
19175,2014,8
19177,2014,9
19179,2014,9
19181,2014,14
19183,2014,12
19185,2014,8
19187,2014,6
19189,2014,5
19191,2014,8
19193,2014,14
19195,2014,2
19197,2014,4
20001,2014,8
20003,2014,7
20005,2014,6
20007,2014,5
20009,2014,6
20011,2014,11
20013,2014,5
20015,2014,14
20017,2014,7
20019,2014,4
20021,2014,10
20023,2014,6
20025,2014,5
20027,2014,5
20029,2014,6
20031,2014,4
20033,2014,3
20035,2014,14
20037,2014,13
20039,2014,5
20041,2014,10
20043,2014,3
20045,2014,25
20047,2014,4
20049,2014,6
20051,2014,6
20053,2014,3
20055,2014,5
20057,2014,5
20059,2014,9
20061,2014,8
20063,2014,4
20065,2014,7
20067,2014,5
20069,2014,4
20071,2014,3
20073,2014,5
20075,2014,3
20077,2014,6
20079,2014,14
20081,2014,3
20083,2014,3
20085,2014,9
20087,2014,16
20089,2014,5
20091,2014,67
20093,2014,4
20095,2014,4
20097,2014,3
20099,2014,10
20101,2014,6
20103,2014,26
20105,2014,3
20107,2014,11
20109,2014,6
20111,2014,12
20113,2014,8
20115,2014,8
20117,2014,8
20119,2014,5
20121,2014,15
20123,2014,4
20125,2014,8
20127,2014,4
20129,2014,4
20131,2014,7
20133,2014,8
20135,2014,4
20137,2014,4
20139,2014,6
20141,2014,4
20143,2014,6
20145,2014,3
20147,2014,6
20149,2014,12
20151,2014,4
20153,2014,6
20155,2014,12
20157,2014,7
20159,2014,6
20161,2014,10
20163,2014,5
20165,2014,5
20167,2014,4
20169,2014,8
20171,2014,7
20173,2014,46
20175,2014,4
20177,2014,25
20179,2014,5
20181,2014,3
20183,2014,4
20185,2014,3
20187,2014,3
20189,2014,4
20191,2014,9
20193,2014,6
20195,2014,4
20197,2014,4
20199,2014,3
20201,2014,7
20203,2014,4
20205,2014,5
20207,2014,4
20209,2014,28
21001,2014,7
21003,2014,11
21005,2014,10
21007,2014,4
21009,2014,14
21011,2014,10
21013,2014,9
21015,2014,31
21017,2014,10
21019,2014,13
21021,2014,10
21023,2014,6
21025,2014,7
21027,2014,5
21029,2014,15
21031,2014,5
21033,2014,4
21035,2014,9
21037,2014,18
21039,2014,6
21041,2014,12
21043,2014,12
21045,2014,7
21047,2014,14
21049,2014,11
21051,2014,10
21053,2014,6
21055,2014,4
21057,2014,6
21059,2014,10
21061,2014,7
21063,2014,5
21065,2014,7
21067,2014,32
21069,2014,6
21071,2014,10
21073,2014,12
21075,2014,4
21077,2014,12
21079,2014,9
21081,2014,16
21083,2014,9
21085,2014,6
21087,2014,8
21089,2014,11
21091,2014,3
21093,2014,17
21095,2014,8
21097,2014,8
21099,2014,6
21101,2014,10
21103,2014,10
21105,2014,4
21107,2014,8
21109,2014,8
21111,2014,65
21113,2014,16
21115,2014,5
21117,2014,31
21119,2014,5
21121,2014,8
21123,2014,8
21125,2014,9
21127,2014,7
21129,2014,6
21131,2014,5
21133,2014,6
21135,2014,7
21137,2014,10
21139,2014,4
21141,2014,7
21143,2014,7
21145,2014,12
21147,2014,5
21149,2014,6
21151,2014,14
21153,2014,6
21155,2014,9
21157,2014,14
21159,2014,6
21161,2014,10
21163,2014,7
21165,2014,5
21167,2014,9
21169,2014,6
21171,2014,6
21173,2014,9
21175,2014,5
21177,2014,5
21179,2014,10
21181,2014,5
21183,2014,6
21185,2014,14
21187,2014,12
21189,2014,4
21191,2014,13
21193,2014,6
21195,2014,11
21197,2014,11
