fips,year,ma_total_from_plans,sumsq_enroll,hhi,ma_enrollment,eligibles,ma_share,plan_count,ffs_cost,ffs_quartile,treated_competitive,control_uncompetitive,treated
05101,2018,536.0,41552.0,0.1446313210069057,589.0,2584.0,0.2279411764705882,405,,,1,0,1
05103,2018,1763.0,334493.0,0.1076173785917046,1750.0,6350.0,0.2755905511811024,399,,,1,0,1
05105,2018,525.0,21399.0,0.0776380952380952,585.0,2811.0,0.2081109925293489,429,,,1,0,1
05107,2018,1092.0,138880.0,0.1164647318493472,1050.0,4461.0,0.2353732347007397,401,,,1,0,1
05111,2018,1576.0,268784.0,0.1082158777603133,1544.0,5933.0,0.260239339288724,420,,,1,0,1
05113,2018,870.0,96346.0,0.1272902629145197,883.0,5590.0,0.1579606440071556,395,,,1,0,1
05115,2018,3109.0,916071.0,0.0947736683288362,2978.0,12746.0,0.2336419268790208,412,,,1,0,1
05119,2018,17493.0,18124653.0,0.0592299148632675,17103.0,77974.0,0.2193423448841921,481,,,1,0,1
05123,2018,1241.0,171991.0,0.1116765936337114,1312.0,5208.0,0.2519201228878648,420,,,1,0,1
05125,2018,5151.0,2664787.0,0.1004336858366367,5043.0,25590.0,0.1970691676436108,442,,,1,0,1
05133,2018,416.0,49340.0,0.2851100221893491,424.0,2999.0,0.1413804601533844,393,,,0,1,0
05135,2018,1245.0,217221.0,0.1401403203174142,1267.0,6387.0,0.1983716925003914,414,,,1,0,1
05141,2018,1132.0,127468.0,0.099473710497072,1172.0,5279.0,0.2220117446486076,427,,,1,0,1
05145,2018,3116.0,1007574.0,0.1037724461597024,3055.0,16951.0,0.1802253554362574,405,,,1,0,1
05147,2018,345.0,15127.0,0.1270909472799831,324.0,1896.0,0.170886075949367,394,,,1,0,1
05149,2018,1015.0,98091.0,0.0952131815865466,1044.0,4802.0,0.2174094127446897,418,,,1,0,1
06001,2018,103099.0,2955952479.0,0.2780920298391438,101878.0,243559.0,0.4182887924486469,567,,,0,1,0
06007,2018,1553.0,1192247.0,0.4943372381477969,1972.0,51978.0,0.0379391280926545,401,,,0,1,0
06009,2018,1070.0,625836.0,0.5466293999475936,1655.0,13488.0,0.1227016607354685,397,,,0,1,0
